        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:29:51
           6	           4	       1 / 1	 00:00:12,43	 00:00:12,29	 00:00:53,33	Global Racing	800604D2000400E210
           8	           4	       1 / 1	 00:00:14,59	 00:00:13,03	 00:00:54,85	Hyper Monkeys	800805A9000400C58C
           3	           3	       2 / 1	 00:00:21,85	 00:00:18,91	 00:00:56,00	Happy Family	80030879000300808C
           9	           4	       1 / 1	 00:00:12,94	 00:00:12,94	 00:00:56,07	    WK Power	800905050004009C8C
          16	           4	       1 / 1	 00:00:17,02	 00:00:12,26	 00:00:56,14	    DSCA 50+	8010069A000400B910
          15	           2	       3 / 2	 00:00:17,07	 00:00:17,07	 00:00:58,83	Prospeed Slotracing	800F069F0002000010
           1	           5	       0 / 0	 00:00:11,18	 00:00:11,18	 00:00:58,97	        DSCA	80010456000500FF8C
          19	           5	       0 / 0	 00:00:11,53	 00:00:11,36	 00:00:59,19	         H&B	80130479000500D78C
          13	           5	       1 / 1	 00:00:11,27	 00:00:11,27	 00:00:59,71	Slotrace Friends	800D045F000500E910
          11	           4	       2 / 1	 00:00:21,04	 00:00:12,32	 00:01:00,28	PT Motorsport	800B0829000400B78C
          14	           5	       0 / 0	 00:00:11,24	 00:00:11,24	 00:01:00,01	         DTM	800E045C000500808C
          18	           5	       1 / 1	 00:00:11,86	 00:00:11,86	 00:01:01,87	Brussels Scalex Team	8012049A000500C010
          12	           5	       1 / 1	 00:00:12,32	 00:00:11,51	 00:01:02,39	  DYT Racing	800C04C7000500B512
           2	           5	       2 / 1	 00:00:12,30	 00:00:11,50	 00:01:05,26	DSCA by SV Workz	800204C5000500B410
           6	           5	       1 / 1	 00:00:12,17	 00:00:12,17	 00:01:05,30	Global Racing	800604B8000500B910
           8	           5	       1 / 1	 00:00:12,25	 00:00:12,25	 00:01:06,82	Hyper Monkeys	800804C0000500AF10
           5	           4	       2 / 1	 00:00:18,88	 00:00:13,84	 00:01:07,09	El Kapito Dents	80050752000400FF8C
          10	           5	       1 / 1	 00:00:15,81	 00:00:12,29	 00:01:07,46	Sports Carazing	800A0622000500E08C
           7	           5	       1 / 1	 00:00:15,73	 00:00:12,97	 00:01:08,00	International Racers	8007061A000500AE8C
           9	           5	       1 / 1	 00:00:12,94	 00:00:12,94	 00:01:08,94	    WK Power	800905050005009D10
          16	           5	       1 / 1	 00:00:13,15	 00:00:12,26	 00:01:09,61	    DSCA 50+	8010051A000500DF10
           1	           6	       0 / 0	 00:00:11,27	 00:00:11,18	 00:01:10,04	        DSCA	8001045F000600DF10
          19	           6	       1 / 1	 00:00:11,30	 00:00:11,30	 00:01:10,26	         H&B	80130462000600BD10
          13	           6	       1 / 1	 00:00:11,53	 00:00:11,27	 00:01:11,38	Slotrace Friends	800D0479000600FF10
          14	           6	       1 / 1	 00:00:11,35	 00:00:11,24	 00:01:11,39	         DTM	800E0467000600B710
          11	           5	       2 / 1	 00:00:11,92	 00:00:11,92	 00:01:12,25	PT Motorsport	800B04A0000500C910
          12	           6	       1 / 1	 00:00:12,43	 00:00:11,51	 00:01:14,96	  DYT Racing	800C04D2000600FF12
          18	           6	       1 / 1	 00:00:13,90	 00:00:11,86	 00:01:15,64	Brussels Scalex Team	801205640006008010
           2	           6	       1 / 1	 00:00:11,82	 00:00:11,50	 00:01:15,74	DSCA by SV Workz	80020496000600B98C
           5	           5	       2 / 1	 00:00:14,00	 00:00:13,84	 00:01:15,77	El Kapito Dents	8005056E000500D18C
           3	           4	       3 / 2	 00:00:19,78	 00:00:18,91	 00:01:16,04	Happy Family	800307AC000400C58C
           6	           6	       1 / 1	 00:00:11,87	 00:00:11,87	 00:01:17,27	Global Racing	8006049B000600B410
          15	           3	       4 / 2	 00:00:20,79	 00:00:17,07	 00:01:18,58	Prospeed Slotracing	800F08100003000010
           8	           6	       1 / 1	 00:00:11,93	 00:00:11,93	 00:01:19,09	Hyper Monkeys	800804A1000600FF10
           7	           6	       1 / 1	 00:00:11,57	 00:00:11,57	 00:01:19,68	International Racers	8007047D000600FF12
          10	           6	       0 / 0	 00:00:11,98	 00:00:11,98	 00:01:19,43	Sports Carazing	800A04A6000600BB12
          16	           6	       1 / 1	 00:00:12,14	 00:00:12,14	 00:01:21,28	    DSCA 50+	801004B5000600CA10
           1	           7	       0 / 0	 00:00:11,42	 00:00:11,18	 00:01:21,41	        DSCA	8001046E000700D110
          19	           7	       1 / 1	 00:00:11,47	 00:00:11,30	 00:01:21,93	         H&B	80130473000700FF8C
