        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:58:39
          15	           6	       1 / 1	 00:00:09.05	 00:00:09.05	 00:01:04.79	   Garage 27	800F0383000700FF8A
           6	           6	       1 / 1	 00:00:14.26	 00:00:08.66	 00:01:05.58	Eurolink Racing	80060588000700FF8C
           8	           7	       0 / 0	 00:00:09.19	 00:00:09.02	 00:01:07.70	      Exiles	80080391000800FF10
          10	           7	       1 / 1	 00:00:09.25	 00:00:09.19	 00:01:09.83	      Wolves	800A0397000800FF12
           9	           7	       1 / 1	 00:00:09.05	 00:00:09.05	 00:01:10.42	Hyper Monkeys	80090383000800FF10
          11	           7	       1 / 1	 00:00:09.26	 00:00:09.01	 00:01:11.34	        DSCA	800B0398000800FF10
           1	           7	       1 / 1	 00:00:09.35	 00:00:08.92	 00:01:13.31	Sports Carazing	800103A0000800FF12
          15	           7	       1 / 1	 00:00:08.95	 00:00:08.95	 00:01:13.77	   Garage 27	800F0379000800FF8A
           4	           7	       1 / 1	 00:00:09.92	 00:00:09.61	 00:01:13.94	El Kapito Dents	800403D9000800FF10
           6	           7	       1 / 1	 00:00:09.25	 00:00:08.66	 00:01:14.86	Eurolink Racing	80060397000800FF8C
           8	           8	       0 / 0	 00:00:09.04	 00:00:09.02	 00:01:16.67	      Exiles	80080382000900FF10
          10	           8	       1 / 1	 00:00:09.17	 00:00:09.17	 00:01:19.11	      Wolves	800A038F000900FF12
          11	           8	       1 / 1	 00:00:09.07	 00:00:09.01	 00:01:20.31	        DSCA	800B0385000900FF8C
           9	           8	       1 / 1	 00:00:10.97	 00:00:09.05	 00:01:21.19	Hyper Monkeys	80090441000900FF8C
           1	           8	       1 / 1	 00:00:08.90	 00:00:08.90	 00:01:22.29	Sports Carazing	80010374000900FF8C
          15	           8	       1 / 1	 00:00:09.11	 00:00:08.95	 00:01:22.75	   Garage 27	800F0389000900FF10
           4	           8	       1 / 1	 00:00:09.75	 00:00:09.61	 00:01:23.52	El Kapito Dents	800403C8000900FF8C
           6	           8	       1 / 1	 00:00:10.60	 00:00:08.66	 00:01:25.63	Eurolink Racing	8006041D000900FF10
           8	           9	       0 / 0	 00:00:09.29	 00:00:09.02	 00:01:25.95	      Exiles	8008039B000A00FF8C
          10	           9	       1 / 1	 00:00:09.41	 00:00:09.17	 00:01:28.38	      Wolves	800A03A6000A00FF8C
          11	           9	       1 / 1	 00:00:09.26	 00:00:09.01	 00:01:29.59	        DSCA	800B0398000A00FF8C
           9	           9	       1 / 1	 00:00:08.89	 00:00:08.89	 00:01:30.17	Hyper Monkeys	80090373000A00FF8C
           1	           9	       1 / 1	 00:00:08.72	 00:00:08.72	 00:01:30.97	Sports Carazing	80010362000A00FF8C
          15	           9	       1 / 1	 00:00:08.80	 00:00:08.80	 00:01:31.43	   Garage 27	800F036A000A00FF10
           4	           9	       1 / 1	 00:00:09.01	 00:00:09.01	 00:01:32.49	El Kapito Dents	8004037F000A00FF8C
           6	           9	       1 / 1	 00:00:08.96	 00:00:08.66	 00:01:34.61	Eurolink Racing	8006037A000A00FF10
           8	          10	       0 / 0	 00:00:08.89	 00:00:08.89	 00:01:34.93	      Exiles	80080373000B00FF8C
          10	          10	       1 / 1	 00:00:09.74	 00:00:09.17	 00:01:38.26	      Wolves	800A03C7000B00FF12
          11	          10	       1 / 1	 00:00:08.86	 00:00:08.86	 00:01:38.57	        DSCA	800B0370000B00FF10
           9	          10	       1 / 1	 00:00:09.05	 00:00:08.89	 00:01:39.15	Hyper Monkeys	80090383000B00FF10
           1	          10	       1 / 1	 00:00:08.75	 00:00:08.72	 00:01:39.65	Sports Carazing	80010365000B00FF12
          15	          10	       1 / 1	 00:00:08.90	 00:00:08.80	 00:01:40.40	   Garage 27	800F0374000B00FF8A
           4	          10	       1 / 1	 00:00:09.13	 00:00:09.01	 00:01:41.77	El Kapito Dents	8004038B000B00FF10
           6	          10	       1 / 1	 00:00:08.96	 00:00:08.66	 00:01:43.29	Eurolink Racing	8006037A000B00FF8C
           8	          11	       0 / 0	 00:00:08.90	 00:00:08.89	 00:01:43.61	      Exiles	80080374000C00FF10
          10	          11	       1 / 1	 00:00:09.28	 00:00:09.17	 00:01:47.54	      Wolves	800A039A000C00FF12
          11	          11	       1 / 1	 00:00:09.14	 00:00:08.86	 00:01:47.55	        DSCA	800B038C000C00FF10
           9	          11	       1 / 1	 00:00:08.80	 00:00:08.80	 00:01:48.12	Hyper Monkeys	8009036A000C00FF10
           1	          11	       1 / 1	 00:00:08.81	 00:00:08.72	 00:01:48.62	Sports Carazing	8001036B000C00FF12
          15	          11	       1 / 1	 00:00:09.68	 00:00:08.80	 00:01:49.98	   Garage 27	800F03C1000C00FF10
           4	          11	       1 / 1	 00:00:09.63	 00:00:09.01	 00:01:51.35	El Kapito Dents	800403BC000C00FF8C
           8	          12	       0 / 0	 00:00:08.87	 00:00:08.87	 00:01:52.58	      Exiles	80080371000D00FF8C
           6	          11	       2 / 1	 00:00:12.88	 00:00:08.66	 00:01:56.15	Eurolink Racing	800604FF000C00FF10
          10	          12	       1 / 1	 00:00:09.26	 00:00:09.17	 00:01:56.51	      Wolves	800A0398000D00FF12
          11	          12	       1 / 1	 00:00:09.07	 00:00:08.86	 00:01:56.82	        DSCA	800B0385000D00FF10
           9	          12	       1 / 1	 00:00:08.99	 00:00:08.80	 00:01:57.10	Hyper Monkeys	8009037D000D00FF10
          15	          12	       1 / 1	 00:00:08.95	 00:00:08.80	 00:01:58.96	   Garage 27	800F0379000D00FF8A
           1	          12	       1 / 1	 00:00:10.63	 00:00:08.72	 00:01:59.10	Sports Carazing	80010420000D00AC12
           4	          12	       1 / 1	 00:00:09.10	 00:00:09.01	 00:02:00.32	El Kapito Dents	80040388000D00FF8C
           8	          13	       0 / 0	 00:00:08.68	 00:00:08.68	 00:02:01.26	      Exiles	8008035E000E00FF10
           6	          12	       2 / 1	 00:00:08.84	 00:00:08.66	 00:02:05.13	Eurolink Racing	8006036E000D00FF10
          10	          13	       1 / 1	 00:00:09.35	 00:00:09.17	 00:02:06.09	      Wolves	800A03A0000E00FF8C
          11	          13	       1 / 1	 00:00:09.29	 00:00:08.86	 00:02:06.10	        DSCA	800B039B000E00FF8C
           9	          13	       1 / 1	 00:00:09.45	 00:00:08.80	 00:02:06.38	Hyper Monkeys	800903AA000E00FF8C
          15	          13	       1 / 1	 00:00:09.29	 00:00:08.80	 00:02:08.23	   Garage 27	800F039B000E00FF8A
           1	          13	       1 / 1	 00:00:09.54	 00:00:08.72	 00:02:08.67	Sports Carazing	800103B3000E000012
           4	          13	       1 / 1	 00:00:08.86	 00:00:08.86	 00:02:09.30	El Kapito Dents	80040370000E00FF10
           8	          14	       0 / 0	 00:00:08.99	 00:00:08.68	 00:02:10.24	      Exiles	8008037D000F00FF10
           6	          13	       2 / 1	 00:00:08.48	 00:00:08.48	 00:02:13.51	Eurolink Racing	8006034A000E00FF8C
          11	          14	       1 / 1	 00:00:09.07	 00:00:08.86	 00:02:15.08	        DSCA	800B0385000F00FF10
           9	          14	       1 / 1	 00:00:09.04	 00:00:08.80	 00:02:15.36	Hyper Monkeys	80090382000F00FF10
          10	          14	       1 / 1	 00:00:09.31	 00:00:09.17	 00:02:15.37	      Wolves	800A039D000F00FF12
          15	          14	       1 / 1	 00:00:09.16	 00:00:08.80	 00:02:17.51	   Garage 27	800F038E000F00FF8A
           4	          14	       1 / 1	 00:00:09.14	 00:00:08.86	 00:02:18.28	El Kapito Dents	8004038C000F00FF10
           1	          14	       1 / 1	 00:00:11.86	 00:00:08.72	 00:02:20.64	Sports Carazing	8001049A000F00FF12
           8	          15	       0 / 0	 00:00:11.53	 00:00:08.68	 00:02:21.91	      Exiles	80080479001000FF10
           6	          14	       2 / 1	 00:00:08.72	 00:00:08.48	 00:02:22.19	Eurolink Racing	80060362000F00FF8C
          11	          15	       1 / 1	 00:00:08.93	 00:00:08.86	 00:02:24.05	        DSCA	800B0377001000FF10
