        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	10:03:59
           6	           4	       1 / 1	 00:00:13,06	 00:00:11,68	 00:00:47,97	Global Racing	80060511000400FF10
          15	           4	       1 / 1	 00:00:12,59	 00:00:11,65	 00:00:48,07	Prospeed Slotracing	800F04E2000400FF10
          10	           4	       1 / 1	 00:00:11,89	 00:00:11,75	 00:00:48,32	Sports Carazing	800A049D000400FF8C
           8	           4	       1 / 1	 00:00:11,59	 00:00:11,59	 00:00:48,58	Hyper Monkeys	8008047F000400D68C
          18	           4	       1 / 1	 00:00:11,62	 00:00:11,62	 00:00:50,82	Brussels Scalex Team	80120482000400EE8C
          12	           4	       1 / 1	 00:00:13,87	 00:00:12,62	 00:00:51,64	DYT Racing Team	800C0561000400EA8C
          16	           4	       1 / 1	 00:00:12,62	 00:00:12,62	 00:00:52,27	    DSCA 50+	801004E5000400EA8C
           1	           5	       0 / 0	 00:00:10,76	 00:00:10,63	 00:00:53,30	        DSCA	8001042C000500D48C
           3	           4	       2 / 1	 00:00:13,32	 00:00:12,88	 00:00:53,32	Happy Family	8003052B0004000012
           7	           5	       1 / 1	 00:00:11,00	 00:00:11,00	 00:00:54,86	International Racers	80070444000500E410
           4	           5	       1 / 1	 00:00:10,97	 00:00:10,97	 00:00:55,13	Slotrace Friends	80040441000500FF8C
          19	           5	       1 / 1	 00:00:11,23	 00:00:11,12	 00:00:56,21	         H&B	8013045B000500FF10
          14	           5	       1 / 1	 00:00:11,44	 00:00:11,22	 00:00:57,04	         DTM	800E0470000500F710
          20	           5	       1 / 1	 00:00:14,75	 00:00:11,26	 00:00:58,92	DSCA by SV Workz	801405B8000500A48C
           6	           5	       1 / 1	 00:00:11,69	 00:00:11,68	 00:00:59,64	Global Racing	80060489000500FF8C
          15	           5	       1 / 1	 00:00:11,62	 00:00:11,62	 00:00:59,75	Prospeed Slotracing	800F0482000500FF10
           8	           5	       1 / 1	 00:00:11,48	 00:00:11,48	 00:00:59,96	Hyper Monkeys	80080474000500A28C
          11	           5	       1 / 1	 00:00:14,77	 00:00:10,82	 00:01:00,30	PT Motorsport	800B05BA000500BE8C
          10	           5	       1 / 1	 00:00:12,29	 00:00:11,75	 00:01:00,89	Sports Carazing	800A04C4000500CB12
          18	           5	       1 / 1	 00:00:11,48	 00:00:11,48	 00:01:02,19	Brussels Scalex Team	80120474000500C88C
          12	           5	       1 / 1	 00:00:11,39	 00:00:11,39	 00:01:03,01	DYT Racing Team	800C046B000500FF12
          16	           5	       1 / 1	 00:00:11,95	 00:00:11,95	 00:01:04,24	    DSCA 50+	801004A3000500C58C
           1	           6	       0 / 0	 00:00:11,15	 00:00:10,63	 00:01:04,37	        DSCA	80010453000600C710
           5	           5	       2 / 1	 00:00:17,02	 00:00:11,90	 00:01:04,71	El Kapito Dents	8205069A000500A78C
           7	           6	       1 / 1	 00:00:10,85	 00:00:10,85	 00:01:05,63	International Racers	80070435000600CB10
           4	           6	       1 / 1	 00:00:11,15	 00:00:10,97	 00:01:06,50	Slotrace Friends	80040453000600FF12
          19	           6	       1 / 1	 00:00:11,18	 00:00:11,12	 00:01:07,29	         H&B	80130456000600FF10
          14	           6	       1 / 1	 00:00:11,21	 00:00:11,21	 00:01:08,11	         DTM	800E04590006009E10
           3	           5	       2 / 1	 00:00:14,82	 00:00:12,88	 00:01:08,28	Happy Family	800305BF000500C212
          20	           6	       1 / 1	 00:00:11,30	 00:00:11,26	 00:01:10,29	DSCA by SV Workz	80140462000600E68C
          11	           6	       1 / 1	 00:00:11,36	 00:00:10,82	 00:01:10,48	PT Motorsport	800B0468000600D410
           8	           6	       1 / 1	 00:00:11,62	 00:00:11,48	 00:01:11,63	Hyper Monkeys	80080482000600C110
          15	           6	       1 / 1	 00:00:12,11	 00:00:11,62	 00:01:11,72	Prospeed Slotracing	800F04B2000600FF8C
          10	           6	       1 / 1	 00:00:13,44	 00:00:11,75	 00:01:13,76	Sports Carazing	800A05360006000080
          18	           6	       1 / 1	 00:00:11,86	 00:00:11,48	 00:01:14,16	Brussels Scalex Team	8012049A000600E910
          12	           6	       1 / 1	 00:00:11,62	 00:00:11,39	 00:01:14,68	DYT Racing Team	800C0482000600F68C
           6	           6	       1 / 1	 00:00:15,34	 00:00:11,68	 00:01:14,90	Global Racing	800605F3000600A910
           1	           7	       0 / 0	 00:00:11,00	 00:00:10,63	 00:01:15,45	        DSCA	80010444000700F88C
          16	           6	       2 / 1	 00:00:12,05	 00:00:11,95	 00:01:16,21	    DSCA 50+	801004AC000600C110
           5	           6	       2 / 1	 00:00:12,08	 00:00:11,90	 00:01:16,68	El Kapito Dents	800504AF000600A88C
           7	           7	       1 / 1	 00:00:11,12	 00:00:10,85	 00:01:17,00	International Racers	80070450000700FF8C
           4	           7	       1 / 1	 00:00:10,91	 00:00:10,91	 00:01:17,27	Slotrace Friends	8004043B000700FF12
          19	           7	       1 / 1	 00:00:11,09	 00:00:11,09	 00:01:18,36	         H&B	8013044D000700FF8C
          14	           7	       1 / 1	 00:00:11,24	 00:00:11,21	 00:01:19,49	         DTM	800E045C000700FF8A
           3	           6	       2 / 1	 00:00:12,14	 00:00:12,14	 00:01:20,25	Happy Family	800304B5000600FE8A
          20	           7	       1 / 1	 00:00:10,90	 00:00:10,90	 00:01:21,06	DSCA by SV Workz	8014043A000700B18C
          11	           7	       1 / 1	 00:00:11,00	 00:00:10,82	 00:01:21,55	PT Motorsport	800B0444000700E58C
          15	           7	       1 / 1	 00:00:11,15	 00:00:11,15	 00:01:22,79	Prospeed Slotracing	800F0453000700CA10
           8	           7	       1 / 1	 00:00:11,68	 00:00:11,48	 00:01:23,30	Hyper Monkeys	80080488000700BA10
          18	           7	       1 / 1	 00:00:11,66	 00:00:11,48	 00:01:25,83	Brussels Scalex Team	80120486000700FF10
           6	           7	       1 / 1	 00:00:11,27	 00:00:11,27	 00:01:26,27	Global Racing	8006045F000700FF10
          12	           7	       1 / 1	 00:00:11,90	 00:00:11,39	 00:01:26,35	DYT Racing Team	800C049E000700C48C
           1	           8	       0 / 0	 00:00:11,09	 00:00:10,63	 00:01:26,52	        DSCA	8001044D000800FF8C
          16	           7	       2 / 1	 00:00:11,75	 00:00:11,75	 00:01:27,89	    DSCA 50+	8010048F000700DA10
           7	           8	       1 / 1	 00:00:11,24	 00:00:10,85	 00:01:28,07	International Racers	8007045C000800FF10
           4	           8	       1 / 1	 00:00:11,09	 00:00:10,91	 00:01:28,34	Slotrace Friends	8004044D000800FF8C
           5	           7	       2 / 1	 00:00:11,71	 00:00:11,71	 00:01:28,35	El Kapito Dents	8005048B000700BA8C
          19	           8	       1 / 1	 00:00:11,15	 00:00:11,09	 00:01:29,43	         H&B	80130453000800FD10
